USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539584445	25773562	     594.437	       9.951	 32.536382	 -86.644490                                                                                                   
AL	01003	00161527	Baldwin County	4117666504	1133047238	    1589.840	     437.472	 30.659218	 -87.746067                                                                                                 
AL	01005	00161528	Barbour County	2291818949	50864677	     884.876	      19.639	 31.870253	 -85.405104                                                                                                   
AL	01007	00161529	Bibb County	1612481789	9287962	     622.583	       3.586	 33.015893	 -87.127148                                                                                                       
AL	01009	00161530	Blount County	1670041831	15077459	     644.807	       5.821	 33.977448	 -86.567246                                                                                                    
AL	01011	00161531	Bullock County	1613058454	6055020	     622.805	       2.338	 32.101759	 -85.717261                                                                                                    
AL	01013	00161532	Butler County	2011976232	2727475	     776.828	       1.053	 31.751667	 -86.681969                                                                                                     
AL	01015	00161533	Calhoun County	1569185180	16629197	     605.866	       6.421	 33.771706	 -85.822513                                                                                                   
AL	01017	00161534	Chambers County	1545009302	17048126	     596.531	       6.582	 32.915504	 -85.394032                                                                                                  
AL	01019	00161535	Cherokee County	1434129448	119805389	     553.720	      46.257	 34.069515	 -85.654242                                                                                                 
AL	01021	00161536	Chilton County	1794483678	20586275	     692.854	       7.948	 32.854051	 -86.726607                                                                                                   
AL	01023	00161537	Choctaw County	2365954838	19059247	     913.500	       7.359	 31.990997	 -88.248908                                                                                                   
AL	01025	00161538	Clarke County	3207609375	36542657	    1238.465	      14.109	 31.685521	 -87.818624                                                                                                    
AL	01027	00161539	Clay County	1564252294	5284605	     603.961	       2.040	 33.267809	 -85.862051                                                                                                       
AL	01029	00161540	Cleburne County	1450663486	2354897	     560.104	       0.909	 33.671964	 -85.516126                                                                                                   
AL	01031	00161541	Coffee County	1758570095	3903455	     678.988	       1.507	 31.402258	 -85.989602                                                                                                     
AL	01033	00161542	Colbert County	1534878356	80029921	     592.620	      30.900	 34.703112	 -87.801457                                                                                                   
AL	01035	00161543	Conecuh County	2201896153	6643478	     850.157	       2.565	 31.428292	 -86.992029                                                                                                    
AL	01037	00161544	Coosa County	1685891158	39946547	     650.926	      15.423	 32.931445	 -86.243482                                                                                                     
AL	01039	00161545	Covington County	2668869757	34526028	    1030.456	      13.331	 31.243987	 -86.448721                                                                                                 
AL	01041	00161546	Crenshaw County	1576887982	5376388	     608.840	       2.076	 31.732826	 -86.319222                                                                                                   
AL	01043	00161547	Cullman County	1903376439	52118794	     734.898	      20.123	 34.131923	 -86.869267                                                                                                   
AL	01045	00161548	Dale County	1453371200	4016457	     561.150	       1.551	 31.430654	 -85.609476                                                                                                       
AL	01047	00161549	Dallas County	2534807359	39134782	     978.695	      15.110	 32.333540	 -87.114356                                                                                                    
AL	01049	00161550	DeKalb County	2012664442	4121502	     777.094	       1.591	 34.460929	 -85.803992                                                                                                     
AL	01051	00161551	Elmore County	1601871294	99858809	     618.486	      38.556	 32.597229	 -86.142738                                                                                                    
AL	01053	00161552	Escambia County	2447747086	20873009	     945.080	       8.059	 31.121747	 -87.168429                                                                                                  
AL	01055	00161553	Etowah County	1386505898	34436545	     535.333	      13.296	 34.047648	 -86.034522                                                                                                    
AL	01057	00161554	Fayette County	1625693532	4330882	     627.684	       1.672	 33.716157	 -87.764292                                                                                                    
AL	01059	00161555	Franklin County	1641580749	32904835	     633.818	      12.705	 34.441989	 -87.842814                                                                                                  
AL	01061	00161556	Geneva County	1487710591	11765117	     574.408	       4.543	 31.092392	 -85.821011                                                                                                    
AL	01063	00161557	Greene County	1676006866	33231189	     647.110	      12.831	 32.844497	 -87.964200                                                                                                    
AL	01065	00161558	Hale County	1667803981	32525876	     643.943	      12.558	 32.752796	 -87.623061                                                                                                      
AL	01067	00161559	Henry County	1454926276	16986823	     561.750	       6.559	 31.516978	 -85.239971                                                                                                     
AL	01069	00161560	Houston County	1501741657	4736012	     579.826	       1.829	 31.158193	 -85.296398                                                                                                    
AL	01071	00161561	Jackson County	2791664969	126657151	    1077.868	      48.903	 34.764095	 -85.979956                                                                                                  
AL	01073	00161562	Jefferson County	2878195215	32475073	    1111.277	      12.539	 33.553444	 -86.896536                                                                                                 
AL	01075	00161563	Lamar County	1566544630	1600679	     604.846	       0.618	 33.787085	 -88.087431                                                                                                      
AL	01077	00161564	Lauderdale County	1729334649	134420367	     667.700	      51.900	 34.904122	 -87.650997                                                                                               
AL	01079	00161565	Lawrence County	1788847625	68687355	     690.678	      26.520	 34.529776	 -87.321865                                                                                                  
AL	01081	00161566	Lee County	1573552192	21488918	     607.552	       8.297	 32.604064	 -85.353048                                                                                                       
AL	01083	00161567	Limestone County	1450233442	122374557	     559.938	      47.249	 34.810239	 -86.981399                                                                                                
AL	01085	00161568	Lowndes County	1854202098	23721056	     715.911	       9.159	 32.147888	 -86.650586                                                                                                   
AL	01087	00161569	Macon County	1577005091	11194139	     608.885	       4.322	 32.387027	 -85.692887                                                                                                     
AL	01089	00161570	Madison County	2076127829	28758231	     801.597	      11.104	 34.764238	 -86.551080                                                                                                   
AL	01091	00161572	Marengo County	2530112403	14994542	     976.882	       5.789	 32.247591	 -87.791091                                                                                                   
AL	01093	00161573	Marion County	1922526823	3313144	     742.292	       1.279	 34.138219	 -87.881551                                                                                                     
AL	01095	00161574	Marshall County	1465522869	148503234	     565.842	      57.337	 34.309564	 -86.321668                                                                                                 
AL	01097	00161575	Mobile County	3184086078	1073887094	    1229.383	     414.630	 30.684572	 -88.196568                                                                                                  
AL	01099	00161576	Monroe County	2656518798	22609674	    1025.688	       8.730	 31.580332	 -87.383266                                                                                                    
AL	01101	00161577	Montgomery County	2031293242	40468758	     784.287	      15.625	 32.203650	 -86.203831                                                                                                
AL	01103	00161578	Morgan County	1500535095	51006093	     579.360	      19.694	 34.454484	 -86.846402                                                                                                    
AL	01105	00161579	Perry County	1863920407	10918481	     719.664	       4.216	 32.639005	 -87.293827                                                                                                     
AL	01107	00161580	Pickens County	2282893944	22521211	     881.430	       8.695	 33.296808	 -88.096878                                                                                                   
AL	01109	00161581	Pike County	1740741420	2336934	     672.104	       0.902	 31.798651	 -85.941604                                                                                                       
AL	01111	00161582	Randolph County	1503616635	9285272	     580.550	       3.585	 33.296475	 -85.464068                                                                                                   
AL	01113	00161583	Russell County	1660584307	15635292	     641.155	       6.037	 32.289811	 -85.186980                                                                                                   
AL	01115	00164997	St. Clair County	1636625304	56293593	     631.905	      21.735	 33.712963	 -86.315663                                                                                                 
AL	01117	00161584	Shelby County	2033020011	63637356	     784.953	      24.571	 33.262937	 -86.678104                                                                                                    
AL	01119	00161585	Sumter County	2341060569	24433134	     903.889	       9.434	 32.597481	 -88.200057                                                                                                    
AL	01121	00161586	Talladega County	1908244346	60939127	     736.777	      23.529	 33.369277	 -86.175805                                                                                                 
AL	01123	00161587	Tallapoosa County	1855779657	128809179	     716.521	      49.734	 32.863369	 -85.799553                                                                                               
AL	01125	00161588	Tuscaloosa County	3423372144	76352449	    1321.771	      29.480	 33.290202	 -87.522860                                                                                                
AL	01127	00161589	Walker County	2049182274	36258740	     791.194	      14.000	 33.791558	 -87.301094                                                                                                    
AL	01129	00161590	Washington County	2797722238	21650837	    1080.207	       8.359	 31.405217	 -88.197564                                                                                                
AL	01131	00161591	Wilcox County	2301199952	48985146	     888.498	      18.913	 31.990372	 -87.302216                                                                                                    
AL	01133	00161592	Winston County	1587607968	48922731	     612.979	      18.889	 34.155888	 -87.364147                                                                                                   
AK	02013	01419964	Aleutians East Borough	18082952287	20792465835	    6981.867	    8028.016	 55.245044	-161.997477                                                                                       
AK	02016	01419965	Aleutians West Census Area	11370493805	25190642210	    4390.172	    9726.162	 51.959447	+178.338813                                                                                   
AK	02020	01416061	Anchorage Municipality	4415393450	663858927	    1704.793	     256.317	 61.174250	-149.284329                                                                                          
AK	02050	01419966	Bethel Census Area	105075814852	12779541605	   40570.001	    4934.209	 60.928916	-160.153350                                                                                          
AK	02060	01419967	Bristol Bay Borough	1304969940	993829573	     503.852	     383.720	 58.732389	-156.986661                                                                                             
AK	02068	01419988	Denali Borough	33026799970	66068781	   12751.719	      25.509	 63.682243	-150.026795                                                                                                  
AK	02070	01419968	Dillingham Census Area	48093070609	6077228299	   18568.839	    2346.431	 59.824816	-158.602233                                                                                        
AK	02090	01419969	Fairbanks North Star Borough	19006674315	272298202	    7338.518	     105.135	 64.691501	-146.601909                                                                                   
AK	02100	01419970	Haines Borough	6009021873	1049986506	    2320.096	     405.402	 59.098771	-135.576936                                                                                                 
AK	02105	02371430	Hoonah-Angoon Census Area	19489412199	8778110895	    7524.904	    3389.248	 58.076434	-135.185100                                                                                     
AK	02110	01419971	Juneau City and Borough	6998181125	1429473427	    2702.013	     551.923	 58.372910	-134.178445                                                                                        
AK	02122	01419972	Kenai Peninsula Borough	41634969829	22473291114	   16075.352	    8676.987	 60.366668	-152.322283                                                                                      
AK	02130	01419973	Ketchikan Gateway Borough	12583297317	4649397253	    4858.438	    1795.142	 55.449938	-131.106685                                                                                     
AK	02150	01419974	Kodiak Island Borough	16963711689	14172770763	    6549.726	    5472.138	 57.553159	-153.630606                                                                                        
AK	02164	01419975	Lake and Peninsula Borough	61258520634	24009256207	   23652.048	    9270.026	 58.205065	-156.705188                                                                                   
AK	02170	01419976	Matanuska-Susitna Borough	63734790922	1682052444	   24608.141	     649.444	 62.182174	-149.407974                                                                                     
AK	02180	01419977	Nome Census Area	59470524877	13767980500	   22961.699	    5315.847	 64.783686	-164.188912                                                                                             
AK	02185	01419978	North Slope Borough	229720485351	15801050201	   88695.579	    6100.820	 69.449343	-153.472830                                                                                         
AK	02188	01419979	Northwest Arctic Borough	92638229677	12901082518	   35767.822	    4981.136	 67.005066	-160.021086                                                                                     
AK	02195	02516404	Petersburg Census Area	8500277409	6221361397	    3281.976	    2402.081	 56.639612	-133.527996                                                                                         
AK	02198	01419980	Prince of Wales-Hyder Census Area	10160361396	9739350279	    3922.938	    3760.384	 55.415683	-132.875734                                                                             
AK	02220	01419981	Sitka City and Borough	7434283303	5027235095	    2870.393	    1941.026	 57.193204	-135.367396                                                                                         
AK	02230	02339479	Skagway Municipality	1171510536	30331285	     452.323	      11.711	 59.575097	-135.335418                                                                                             
AK	02240	01419983	Southeast Fairbanks Census Area	64150296438	752764053	   24768.569	     290.644	 63.864997	-143.218628                                                                                
AK	02261	01419984	Valdez-Cordova Census Area	88681073015	15799731310	   34239.955	    6100.311	 61.349840	-145.023141                                                                                   
AK	02270	01419985	Wade Hampton Census Area	44240302159	6712007398	   17081.277	    2591.521	 62.283060	-163.190903                                                                                      
AK	02275	02418874	Wrangell City and Borough	6582395741	2384303405	    2541.477	     920.585	 56.279121	-132.040325                                                                                      
AK	02282	01419986	Yakutat City and Borough	19811661225	4696570965	    7649.325	    1813.356	 60.007062	-140.148108                                                                                      
AK	02290	01419987	Yukon-Koyukuk Census Area	376856631946	5956374820	  145505.165	    2299.769	 65.375716	-151.577878                                                                                    
AZ	04001	00025441	Apache County	29001443729	54171659	   11197.521	      20.916	 35.385084	-109.490172                                                                                                   
AZ	04003	00025442	Cochise County	15968988822	137024896	    6165.661	      52.906	 31.840129	-109.775163                                                                                                 
AZ	04005	00025443	Coconino County	48222646566	109964007	   18618.869	      42.457	 35.829692	-111.773728                                                                                                
AZ	04007	00040471	Gila County	12323035677	97111868	    4757.951	      37.495	 33.789618	-110.811870                                                                                                     
AZ	04009	00025444	Graham County	11972309598	47704125	    4622.535	      18.419	 32.931828	-109.878310                                                                                                   
AZ	04011	00042807	Greenlee County	4773671082	13745303	    1843.125	       5.307	 33.238872	-109.242323                                                                                                  
AZ	04012	00043540	La Paz County	11653987046	36581754	    4499.630	      14.124	 33.727625	-114.038793                                                                                                   
AZ	04013	00037026	Maricopa County	23828083832	63016718	    9200.075	      24.331	 33.346541	-112.495534                                                                                                 
AZ	04015	00025445	Mohave County	34475279138	387348981	   13310.980	     149.556	 35.717705	-113.749689                                                                                                  
AZ	04017	00042808	Navajo County	25771507428	24078082	    9950.435	       9.297	 35.390934	-110.320908                                                                                                   
AZ	04019	00025446	Pima County	23794230274	5345325	    9187.004	       2.064	 32.128238	-111.783018                                                                                                      
AZ	04021	00025447	Pinal County	13897008769	22331516	    5365.665	       8.622	 32.919038	-111.367005                                                                                                    
AZ	04023	00040472	Santa Cruz County	3203592627	3088042	    1236.914	       1.192	 31.525733	-110.845228                                                                                                 
AZ	04025	00042809	Yavapai County	21039708524	11501647	    8123.477	       4.441	 34.630044	-112.573745                                                                                                  
AZ	04027	00023901	Yuma County	14281186696	13175517	    5513.997	       5.087	 32.773942	-113.910905                                                                                                     
AR	05001	00063755	Arkansas County	2560983531	116414539	     988.801	      44.948	 34.289573	 -91.376547                                                                                                 
AR	05003	00063756	Ashley County	2396641872	39310622	     925.349	      15.178	 33.190835	 -91.772267                                                                                                    
AR	05005	00069895	Baxter County	1435587442	84022299	     554.283	      32.441	 36.280710	 -92.330438                                                                                                    
AR	05007	00069896	Benton County	2194746082	94560869	     847.396	      36.510	 36.337825	 -94.256187                                                                                                    
AR	05009	00069897	Boone County	1528693276	30043333	     590.232	      11.600	 36.304308	 -93.079204                                                                                                     
AR	05011	00063757	Bradley County	1681514459	9532926	     649.236	       3.681	 33.466549	 -92.169156                                                                                                    
AR	05013	00063758	Calhoun County	1627959491	9926130	     628.559	       3.833	 33.560460	 -92.513879                                                                                                    
AR	05015	00066975	Carroll County	1631918431	22566279	     630.087	       8.713	 36.337774	 -93.541663                                                                                                   
AR	05017	00069160	Chicot County	1668740188	120391647	     644.304	      46.483	 33.267139	 -91.297158                                                                                                   
AR	05019	00066845	Clark County	2243121941	43395969	     866.074	      16.755	 34.053316	 -93.176208                                                                                                     
AR	05021	00063759	Clay County	1656206166	5105978	     639.465	       1.971	 36.367302	 -90.418704                                                                                                       
AR	05023	00066983	Cleburne County	1434052327	99015212	     553.691	      38.230	 35.566288	 -92.059974                                                                                                  
AR	05025	00063760	Cleveland County	1548252049	2500385	     597.783	       0.965	 33.893201	 -92.188714                                                                                                  
AR	05027	00063761	Columbia County	1984070931	1809509	     766.054	       0.699	 33.223038	 -93.232843                                                                                                   
AR	05029	00066846	Conway County	1430338874	37323502	     552.257	      14.411	 35.265702	 -92.689248                                                                                                    
AR	05031	00066847	Craighead County	1831671944	14146329	     707.213	       5.462	 35.828268	 -90.630411                                                                                                 
AR	05033	00069161	Crawford County	1536121082	28859527	     593.100	      11.143	 35.583041	 -94.236224                                                                                                  
AR	05035	00069162	Crittenden County	1579533839	68676641	     609.861	      26.516	 35.211878	 -90.315331                                                                                                
AR	05037	00066848	Cross County	1596418405	15348588	     616.381	       5.926	 35.291259	 -90.773894                                                                                                     
AR	05039	00066849	Dallas County	1728522952	1864048	     667.386	       0.720	 33.967823	 -92.653999                                                                                                     
AR	05041	00066850	Desha County	1989504301	133058321	     768.152	      51.374	 33.828748	 -91.244427                                                                                                    
AR	05043	00066851	Drew County	2145506546	18920694	     828.385	       7.305	 33.587242	 -91.722778                                                                                                      
AR	05045	00066852	Faulkner County	1678022116	41920337	     647.888	      16.186	 35.146356	 -92.324654                                                                                                  
AR	05047	00066853	Franklin County	1576935163	27931280	     608.858	      10.784	 35.508573	 -93.887672                                                                                                  
AR	05049	00066854	Fulton County	1601113666	5527452	     618.193	       2.134	 36.383447	 -91.819245                                                                                                     
AR	05051	00066855	Garland County	1755496145	147168642	     677.801	      56.822	 34.578861	 -93.146915                                                                                                  
AR	05053	00066856	Grant County	1636383593	2897714	     631.811	       1.119	 34.288063	 -92.423984                                                                                                      
AR	05055	00066857	Greene County	1496270686	4789563	     577.713	       1.849	 36.119922	 -90.565241                                                                                                     
AR	05057	00066858	Hempstead County	1884268442	35371740	     727.520	      13.657	 33.728611	 -93.665809                                                                                                 
AR	05059	00066859	Hot Spring County	1593384281	18035671	     615.209	       6.964	 34.315177	 -92.944147                                                                                                
AR	05061	00066872	Howard County	1524346572	17509478	     588.554	       6.760	 34.083064	 -93.990931                                                                                                    
AR	05063	00069163	Independence County	1978628944	19593939	     763.953	       7.565	 35.737499	 -91.559942                                                                                              
AR	05065	00066860	Izard County	1503685437	8913756	     580.576	       3.442	 36.094879	 -91.913625                                                                                                      
AR	05067	00066861	Jackson County	1641892758	19587796	     633.938	       7.563	 35.596605	 -91.223178                                                                                                   
AR	05069	00066862	Jefferson County	2255221549	111446691	     870.746	      43.030	 34.277695	 -91.930701                                                                                                
AR	05071	00066863	Johnson County	1708889871	59408886	     659.806	      22.938	 35.573359	 -93.466322                                                                                                   
AR	05073	00066864	Lafayette County	1368208546	43539071	     528.268	      16.811	 33.240660	 -93.611643                                                                                                 
AR	05075	00066865	Lawrence County	1521913265	12244877	     587.614	       4.728	 36.041098	 -91.101153                                                                                                  
AR	05077	00066866	Lee County	1560780568	43722239	     602.621	      16.881	 34.779750	 -90.779288                                                                                                       
AR	05079	00066873	Lincoln County	1454437249	27514937	     561.561	      10.624	 33.957665	 -91.727624                                                                                                   
AR	05081	00066874	Little River County	1378539189	84199071	     532.257	      32.509	 33.699497	 -94.229774                                                                                              
AR	05083	00082850	Logan County	1834023415	60694248	     708.120	      23.434	 35.218549	 -93.720563                                                                                                     
AR	05085	00069164	Lonoke County	1996680456	82666734	     770.923	      31.918	 34.755114	 -91.894132                                                                                                    
AR	05087	00069165	Madison County	2160711729	7314807	     834.255	       2.824	 36.012545	 -93.724053                                                                                                    
AR	05089	00069898	Marion County	1546245257	112149480	     597.009	      43.301	 36.266656	 -92.678588                                                                                                   
AR	05091	00069166	Miller County	1620257302	31246342	     625.585	      12.064	 33.305505	 -93.901509                                                                                                    
AR	05093	00069899	Mississippi County	2332475925	49826383	     900.574	      19.238	 35.766943	 -90.052209                                                                                               
