"","Full_FIPS_Code","YEAR","County_Type","Log_predictions","Predictions","LOGTRANSIT_USER_COUNT","LOGPOPULATION","LOGTrue_GDP","LOGUnemployment_Rate","LOGCharging_Stations","LOGLNMILES","LOGTELEWORK","LOGcapital_transit_funding","LOGCOURIER_NONEMP_RCPTOT_REAL","LOGDRIVER_NONEMP_RCPTOT_REAL","LOGPOP_DENSITY"
"1","1001",2005,"Metropolitan",7.60047614873074,1999.14756009239,8.64628976475065,0.237560949908375,0.182995789624101,0.0885719270906627,0,0.493235599931247,0.031002821051827,0.599476929737843,0.58973649721424,0,0.259737753799373
"2","1015",2005,"Metropolitan",8.75238416620622,6325.75178743646,9.05812115899867,0.357312128636465,0.346371275410604,0.116360589885605,0,0.638029908544418,0.0764956425939846,0,0.637626562475358,0.567794586539238,0.347936616068649
"3","1033",2005,"Metropolitan",7.9286030796833,2775.54687735045,8.6079475546847,0.250483140260907,0.267557368735653,0.151816609276248,0,0.553052624492966,0.0395719079063178,0,0.631065754666422,0,0.269726814842755
"4","1077",2005,"Metropolitan",8.2737974164985,3919.80590096443,9.05986625862135,0.32177858443066,0.274520067852441,0.14003168781856,0,0.624052975051843,0.0395719079063178,0,0.668030780275487,0,0.310679282102584
"5","1081",2005,"Metropolitan",9.08724239077389,8841.77025588483,9.61126184003447,0.371220572749239,0.335070958973932,0.0845868275254667,0,0.595368906629256,0.0400996047197306,0.480975093178158,0.64732348011044,0.539222202269769,0.358429767689126
"6","1089",2005,"Metropolitan",8.58829396569683,5368.44710347797,7.61677580869837,0.49620761912343,0.51921946145348,0.0805978831940554,0,0.664192701202674,0.0426230695247879,0.538232608530133,0.714564731183492,0.595411921869574,0.422851443753086
"7","1101",2005,"Metropolitan",9.68542247975926,16081.462333872,9.0259366489779,0.453348866362888,0.483659648755453,0.116360589885605,0,0.636544105130784,0.0831129881424327,0.647548588632341,0.695307174542981,0.556906650322073,0.392386107134189
"8","1103",2005,"Metropolitan",8.1003717026649,3295.69286546163,7.28550654852279,0.356667890450345,0.361537259199303,0.116360589885605,0,0.615085899801391,0.0288892617828841,0,0.703294130831054,0.476984514950771,0.352240131479146
"9","1113",2005,"Metropolitan",7.24016181856063,1394.31957939954,6.87005341179813,0.237719674146729,0.17779675082357,0.175286154673335,0,0.610166677152033,0.0750647268280751,0.518651002948057,0.606872010181105,0.48597064446417,0.251945160320723
"10","1117",2005,"Metropolitan",8.20356068365904,3653.93768785016,6.76272950693188,0.41545195566497,0.420121804610606,0.060595229381282,0,0.614058127483066,0.0007331764071469,0.646771281737288,0.724561261998814,0.513936565164415,0.362967924381699
