"","Full_FIPS_Code","YEAR","County_Type","Log_predictions","Predictions","LOGTOTAL_EMISSIONS","LOGPOPULATION","LOGTrue_GDP","LOGUnemployment_Rate","LOGCharging_Stations","LOGLNMILES","LOGTELEWORK","LOGUPT_distr_commuters","LOGCOURIER_NONEMP_RCPTOT_REAL","LOGDRIVER_NONEMP_RCPTOT_REAL","LOGPOP_DENSITY"
"1","1003",2008,"Fringe",14.3021373536995,1626819.3601484,13.977594682348,0.583493190696187,0.529741957416293,0.142652261632201,0,0.657662619605503,0.0493469242545515,0.678700078927329,0.744604497832007,0.569842791498211,0.418255132446784
"2","1005",2008,"Micropolitan",12.3659265115494,234667.87874128,12.4716138861373,0.393892897927407,0.337444788044504,0.306754818620681,0,0.547414509089571,0.0848148758159075,0,0,0,0.308026429668439
"3","1015",2008,"Metropolitan",13.7716426422317,957080.364383446,14.2522263088363,0.541855931999464,0.507396174054094,0.185264196947521,0,0.645478995893138,0.031603013849456,0,0.647412799230931,0.540555860208103,0.467977632907025
"4","1017",2008,"Micropolitan",12.4231470105319,248487.298498868,12.4089492323604,0.416249660655812,0.321770761094217,0.518140819895846,0,0.523906952274986,0.0131585013916636,0,0,0.478546014028929,0.361404667527323
"5","1019",2008,"Fringe",12.0498992189812,171082.16531173,12.0998309067092,0.385531912968562,0.290011768325361,0.185264196947521,0,0.526314744184885,0.0603925929694594,0,0.452232682150861,0,0.341902867637505
"6","1021",2008,"Fringe",13.0287734436033,455328.057488765,12.9183075015456,0.439274736614565,0.330478541476884,0.158199039222421,0,0.581861394461973,0.0131585013916636,0,0.621473346438138,0,0.36789260461119
"7","1031",2008,"Tribal",12.6482984649999,311233.422718302,12.6343758111813,0.451113353147329,0.377541784070033,0.150433053659212,0,0.559528048685382,0.0647447978004342,0,0.596175213710357,0,0.37996880692816
"8","1033",2008,"Metropolitan",12.9310749616301,412947.176419111,12.9401468156582,0.463019929651484,0.44348370487161,0.215977600101658,0,0.55550410869121,0.0177202744358312,0.567158170431747,0.627358174668865,0,0.401944845794011
"9","1039",2008,"Fringe",12.5197950460297,273701.957235957,12.6036140222978,0.424757777850469,0.365040140879732,0.192964244858167,0,0.615019220372645,0.0647447978004342,0,0,0,0.320600021108926
"10","1043",2008,"Micropolitan",13.3694374109518,640136.946243878,13.313402888826,0.50288240936078,0.438620230615557,0.150433053659212,0,0.617390803997669,0.0636345213413572,0,0.695210560940107,0,0.417091986064374
